Setting,N,Legal,Evidence,Citation,Completeness,Clarity,Hallucination,SemanticSim,chrF++
LLM-only,182,"0.544 [0.439, 0.659]","0.451 [0.357, 0.538]","0.214 [0.148, 0.291]","0.527 [0.412, 0.648]","1.835 [1.78, 1.89]","1.132 [1.033, 1.231]","0.683 [0.664, 0.702]","25.252 [23.457, 27.175]"
Static RAG (KZ),182,"1.346 [1.225, 1.456]","1.044 [0.951, 1.143]","0.126 [0.077, 0.181]","1.467 [1.346, 1.588]","1.802 [1.742, 1.857]","1.038 [0.945, 1.126]","0.743 [0.725, 0.761]","38.923 [36.086, 41.811]"
Static RAG (RUS),182,"1.374 [1.258, 1.489]","1.093 [0.989, 1.198]","0.462 [0.363, 0.566]","1.445 [1.324, 1.561]","1.703 [1.621, 1.775]","0.978 [0.874, 1.082]","0.722 [0.705, 0.739]","25.389 [23.585, 27.11]"
