System,Setting,N_ans,N_unans,chrF++,F1,SemanticSim,Legal,Evidence,Citation,Halluc,CorrectAbstain,FalseAbstain
GPT-4.1 (LLM-only),LLM-only,182,60,25.25,0.137,0.683,0.544,0.451,0.527,1.132,0.8,0.143
GPT-4.1 (RAG KZ),RAG,182,60,38.92,0.259,0.743,1.346,1.044,1.467,1.038,0.683,0.055
GPT-4.1 (RAG RUS),RAG,182,60,25.39,0.142,0.722,1.374,1.093,1.445,0.978,0.583,0.005
Hermes-3-Llama-3.1-8B,LLM-only,182,60,24.86,0.123,0.669,0.066,0.071,0.071,1.681,0.2,0.049
KazLLM-1.0-8B,LLM-only,182,60,34.07,0.259,0.699,0.181,0.181,0.247,1.154,0.6,0.022
Qwen2.5-7B,LLM-only,182,60,24.83,0.129,0.646,0.022,0.022,0.033,1.775,0.4,0.187
